,NODE_ID,LATITUDE,LONGITUDE,geometry,demand_21,LMP_21,gen_21
2582,5085,29.335006,-98.510355,POINT (-98.510355 29.335006),1,0,0
2583,5090,29.511422,-98.477039,POINT (-98.477039 29.511422),1,0,0
2584,5093,29.66487278,-98.38522717,POINT (-98.38522717 29.66487278),1,0,0
2585,5095,29.432676,-98.444301,POINT (-98.444301 29.432676),1,0,0
2586,5096,29.42157988,-98.50859322,POINT (-98.50859322 29.42157988),1,0,0
2587,5102,,,POINT EMPTY,0,0,0
2588,5110,29.3075,-98.3225,POINT (-98.3225 29.3075),0,1,1
2589,5125,29.571599,-98.566306,POINT (-98.566306 29.571599),1,0,0
2590,5128,,,POINT EMPTY,0,0,0
2591,5130,29.498713,-98.508401,POINT (-98.508401 29.498713),1,0,0
2592,5132,29.22481606,-98.25386494,POINT (-98.25386494 29.22481606),1,0,0
2593,5133,29.46729937,-97.99987952,POINT (-97.99987952 29.46729937),0,0,0
2594,5135,29.269939,-98.321615,POINT (-98.321615 29.269939),1,0,0
2595,5140,29.61568,-98.469656,POINT (-98.469656 29.61568),1,0,0
2596,5143,29.443963,-98.46803,POINT (-98.46803 29.443963),1,0,0
2597,5145,29.01054953,-97.9858233,POINT (-97.9858233 29.01054953),1,0,0
2598,5147,29.404836,-98.479487,POINT (-98.479487 29.404836),0,0,0
2599,5150,29.437338,-98.506532,POINT (-98.506532 29.437338),1,0,0
2600,5155,29.14118026,-98.1542361,POINT (-98.1542361 29.14118026),1,0,0
2601,5160,29.455399,-98.437815,POINT (-98.437815 29.455399),1,0,0
2602,5165,29.548716,-98.343206,POINT (-98.343206 29.548716),1,0,0
2603,5170,29.503001,-98.559891,POINT (-98.559891 29.503001),1,0,0
2604,5175,29.40494486,-98.44417089,POINT (-98.44417089 29.40494486),1,0,0
2605,5180,29.618221,-98.339456,POINT (-98.339456 29.618221),1,0,0
2606,5185,29.47656,-98.648865,POINT (-98.648865 29.47656),1,0,0
2607,5187,29.51526796,-98.58822742,POINT (-98.58822742 29.51526796),1,0,0
2608,5190,29.36339,-98.495942,POINT (-98.495942 29.36339),1,0,0
2609,5195,29.554058,-98.506025,POINT (-98.506025 29.554058),1,0,0
2610,5200,29.548179,-98.681819,POINT (-98.681819 29.548179),1,0,0
2611,5205,29.358637,-98.409284,POINT (-98.409284 29.358637),1,0,0
2612,5208,29.61938623,-98.57167783,POINT (-98.57167783 29.61938623),0,0,0
2613,5209,29.61938623,-98.57167783,POINT (-98.57167783 29.61938623),0,0,0
2614,5210,29.61938623,-98.57167783,POINT (-98.57167783 29.61938623),1,0,0
2615,5211,29.61938623,-98.57167783,POINT (-98.57167783 29.61938623),0,0,0
2616,5212,29.61938623,-98.57167783,POINT (-98.57167783 29.61938623),0,0,0
2617,5213,29.61938623,-98.57167783,POINT (-98.57167783 29.61938623),0,0,0
2618,5214,29.61938623,-98.57167783,POINT (-98.57167783 29.61938623),0,0,0
2619,5215,29.61938623,-98.57167783,POINT (-98.57167783 29.61938623),0,0,0
2620,5218,29.4634732,-98.41659828,POINT (-98.41659828 29.4634732),1,0,0
2621,5220,29.594916,-98.471524,POINT (-98.471524 29.594916),1,0,0
2622,5225,29.315543,-99.103629,POINT (-99.103629 29.315543),1,0,0
2623,5227,29.37006608,-98.4546786,POINT (-98.4546786 29.37006608),1,0,0
2624,5230,29.2806409,-98.57234328,POINT (-98.57234328 29.2806409),0,0,0
2625,5234,29.4149889,-98.66708445,POINT (-98.66708445 29.4149889),1,0,0
2626,5250,29.465316,-98.392511,POINT (-98.392511 29.465316),1,0,0
2627,5255,29.415318,-98.501491,POINT (-98.501491 29.415318),1,0,0
2628,5257,29.617232,-98.60806,POINT (-98.60806 29.617232),1,0,0
2629,5260,29.35126277,-98.57597657,POINT (-98.57597657 29.35126277),0,1,1
2630,5285,29.46682497,-98.52643285,POINT (-98.52643285 29.46682497),1,0,0
2631,5290,29.26837206,-98.83921847,POINT (-98.83921847 29.26837206),1,0,0
2632,5294,29.45069962,-98.32236728,POINT (-98.32236728 29.45069962),1,0,0
2633,5297,29.28452442,-98.50753985,POINT (-98.50753985 29.28452442),1,0,0
2634,5300,29.52076716,-98.57571595,POINT (-98.57571595 29.52076716),1,0,0
2635,5305,29.520854,-98.575728,POINT (-98.575728 29.520854),1,0,0
2636,5310,29.40949,-98.539686,POINT (-98.539686 29.40949),1,0,0
2637,5311,29.45287951,-98.49996006,POINT (-98.49996006 29.45287951),0,0,0
2638,5315,29.531555,-98.424235,POINT (-98.424235 29.531555),1,0,0
2639,5317,,,POINT EMPTY,1,0,0
2640,5323,,,POINT EMPTY,0,0,0
2641,5325,29.48417914,-98.4913269,POINT (-98.4913269 29.48417914),1,0,0
2642,5330,29.31825768,-98.54970889,POINT (-98.54970889 29.31825768),1,0,0
2643,5331,29.6655355,-98.51764041,POINT (-98.51764041 29.6655355),1,0,0
2644,5332,29.412226,-98.479477,POINT (-98.479477 29.412226),1,0,0
